Function	Depth	Time(s)	Result
Map.filter	3	92.42	Complete (Passed 21)
Map.unions	4	600.00	TimeOut
Map.partition	2	16.76	Complete (Passed 10)
Map.partition	3	15.97	Complete (Passed 21)
Map.partition	4	18.63	Complete (Passed 56)
Map.partition	5	24.49	Complete (Passed 153)
Map.unionsWith	4	600.05	TimeOut
Map.filterWithKey	3	175.64	Complete (Passed 21)
Map.partition	6	51.38	Complete (Passed 379)
Map.partitionWithKey	2	16.45	Complete (Passed 10)
Map.partitionWithKey	3	17.47	Complete (Passed 21)
Map.partitionWithKey	4	19.82	Complete (Passed 56)
Map.isProperSubmapOfBy	3	317.56	Complete (Passed 441)
Map.partitionWithKey	5	28.97	Complete (Passed 153)
Map.filter	4	241.38	Complete (Passed 56)
Map.partitionWithKey	6	82.77	Complete (Passed 379)
Map.partition	7	188.65	Complete (Passed 985)
Map.intersectionWithKey	5	600.01	TimeOut
Map.intersectionWith	5	600.03	TimeOut
Map.mapMaybeWithKey	2	8.12	Complete (Passed 10)
Map.mapMaybe	2	8.91	Complete (Passed 10)
Map.mapMaybeWithKey	3	8.72	Complete (Passed 21)
Map.mapMaybe	3	8.46	Complete (Passed 21)
Map.mapMaybe	4	10.11	Complete (Passed 56)
Map.mapMaybeWithKey	4	11.22	Complete (Passed 56)
Map.mergeWithKey	4	600.04	TimeOut
Map.mapMaybe	5	15.22	Complete (Passed 153)
Map.mapEither	2	17.16	Complete (Passed 10)
Map.mapMaybeWithKey	5	20.11	Complete (Passed 153)
Map.mapEither	3	16.57	Complete (Passed 21)
Map.mapMaybe	6	39.67	Complete (Passed 379)
Map.mapEither	4	19.69	Complete (Passed 56)
Map.mapEither	5	25.61	Complete (Passed 153)
Map.mapMaybeWithKey	6	68.64	Complete (Passed 379)
Map.isSubmapOf	5	600.00	TimeOut
Map.isProperSubmapOf	5	600.01	TimeOut
Map.map	2	4.36	Complete (Passed 10)
Map.mapEither	6	52.95	Complete (Passed 379)
Map.mapEitherWithKey	2	18.47	Complete (Passed 10)
Map.map	3	5.05	Complete (Passed 21)
Map.map	4	5.03	Complete (Passed 56)
Map.mapEitherWithKey	3	18.09	Complete (Passed 21)
Map.map	5	10.13	Complete (Passed 153)
Map.mapEitherWithKey	4	20.42	Complete (Passed 56)
Map.map	6	29.96	Complete (Passed 379)
Map.mapEitherWithKey	5	30.84	Complete (Passed 153)
Map.mapMaybe	7	171.70	Complete (Passed 985)
Map.isSubmapOfBy	3	694.60	TimeOut
Map.mapWithKey	2	4.88	Complete (Passed 10)
Map.mapWithKey	3	4.67	Complete (Passed 21)
Map.mapWithKey	4	6.00	Complete (Passed 56)
Map.partitionWithKey	7	376.29	Complete (Passed 985)
Map.mapWithKey	5	10.69	Complete (Passed 153)
Map.mapEitherWithKey	6	87.21	Complete (Passed 379)
Map.mapWithKey	6	30.61	Complete (Passed 379)
Map.map	7	133.73	Complete (Passed 985)
Map.mapEither	7	193.81	Complete (Passed 985)
Map.filterWithKey	4	680.72	TimeOut
Map.mapAccum	2	4.59	Complete (Passed 10)
Map.mapAccum	3	4.84	Complete (Passed 21)
Map.mapAccum	4	6.01	Complete (Passed 56)
Map.mapAccum	5	12.04	Complete (Passed 153)
Map.mapWithKey	7	144.00	Complete (Passed 985)
Map.mapMaybeWithKey	7	375.90	Complete (Passed 985)
Map.mapAccum	6	34.59	Complete (Passed 379)
Map.partition	8	600.26	TimeOut
Map.filter	5	677.69	TimeOut
Map.mapAccumWithKey	2	4.94	Complete (Passed 10)
Map.mapAccumRWithKey	2	4.60	Complete (Passed 10)
Map.mapAccumWithKey	3	4.83	Complete (Passed 21)
Map.mapAccumRWithKey	3	4.53	Complete (Passed 21)
Map.mapAccumWithKey	4	6.95	Complete (Passed 56)
Map.mapAccumRWithKey	4	6.96	Complete (Passed 56)
Map.mapAccumWithKey	5	11.63	Complete (Passed 153)
Map.mapAccumRWithKey	5	11.58	Complete (Passed 153)
Map.mapAccumWithKey	6	34.06	Complete (Passed 379)
Map.mapAccumRWithKey	6	33.76	Complete (Passed 379)
Map.mapAccum	7	144.60	Complete (Passed 985)
Map.mapEitherWithKey	7	434.23	Complete (Passed 985)
Map.mapAccumWithKey	7	144.50	Complete (Passed 985)
Map.mapAccumRWithKey	7	145.80	Complete (Passed 985)
Map.mapMaybe	8	600.09	TimeOut
Map.mapKeysWith	2	4.17	Complete (Passed 10)
Map.mapKeysWith	3	5.48	Complete (Passed 21)
Map.mapKeysWith	4	6.62	Complete (Passed 56)
Map.mapKeysWith	5	17.86	Complete (Passed 153)
Map.partitionWithKey	8	600.19	TimeOut
Map.mapKeysMonotonic	2	4.41	Complete (Passed 10)
Map.mapKeysMonotonic	3	5.53	Complete (Passed 21)
Map.mapKeysMonotonic	4	6.92	Complete (Passed 56)
Map.mapKeysMonotonic	5	19.01	Complete (Passed 153)
Map.map	8	600.01	TimeOut
Map.mapKeys	2	5.12	Complete (Passed 10)
Map.mapKeys	3	5.12	Complete (Passed 21)
Map.mapEither	8	600.22	TimeOut
Map.foldr	2	4.61	Complete (Passed 10)
Map.mapKeysWith	6	73.70	Complete (Passed 379)
Map.mapKeys	4	7.18	Complete (Passed 56)
Map.foldr	3	5.23	Complete (Passed 21)
Map.foldr	4	5.91	Complete (Passed 56)
Map.mapKeys	5	16.49	Complete (Passed 153)
Map.foldr	5	11.89	Complete (Passed 153)
Map.mapKeysMonotonic	6	76.03	Complete (Passed 379)
Map.foldr	6	39.95	Complete (Passed 379)
Map.mapKeys	6	73.41	Complete (Passed 379)
Map.mapWithKey	8	600.04	TimeOut
Map.foldr'	2	5.19	Complete (Passed 10)
Map.mapMaybeWithKey	8	600.00	TimeOut
Map.foldr'	3	4.69	Complete (Passed 21)
Map.foldl	2	4.43	Complete (Passed 10)
Map.foldr'	4	5.19	Complete (Passed 56)
Map.foldl	3	5.09	Complete (Passed 21)
Map.foldl	4	6.53	Complete (Passed 56)
Map.foldr'	5	11.62	Complete (Passed 153)
Map.foldl	5	11.61	Complete (Passed 153)
Map.foldr'	6	39.63	Complete (Passed 379)
Map.foldl	6	41.08	Complete (Passed 379)
Map.foldr	7	191.84	Complete (Passed 985)
Map.mapAccum	8	600.04	TimeOut
